"GOTermMatch","Term","Ontology","GOId","TermFromMSigDB"
"activetransmembranetransporteractivity","active transmembrane transporter activity","MF","GO:0022804","GO_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY"
"activinbinding","activin binding","MF","GO:0048185","GO_ACTIVIN_BINDING"
"activinreceptorsignalingpathway","activin receptor signaling pathway","BP","GO:0032924","GO_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY"
"actomyosin","actomyosin","CC","GO:0042641","GO_ACTOMYOSIN"
"actomyosinstructureorganization","actomyosin structure organization","BP","GO:0031032","GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION"
"acuteinflammatoryresponse","acute inflammatory response","BP","GO:0002526","GO_ACUTE_INFLAMMATORY_RESPONSE"
"acutephaseresponse","acute-phase response","BP","GO:0006953","GO_ACUTE_PHASE_RESPONSE"
"acylcoabiosyntheticprocess","acyl-CoA biosynthetic process","BP","GO:0071616","GO_ACYL_COA_BIOSYNTHETIC_PROCESS"
"acylcoadehydrogenaseactivity","acyl-CoA dehydrogenase activity","MF","GO:0003995","GO_ACYL_COA_DEHYDROGENASE_ACTIVITY"
"acylcoametabolicprocess","acyl-CoA metabolic process","BP","GO:0006637","GO_ACYL_COA_METABOLIC_PROCESS"
"acylglycerolbiosyntheticprocess","acylglycerol biosynthetic process","BP","GO:0046463","GO_ACYLGLYCEROL_BIOSYNTHETIC_PROCESS"
"acylglycerolcatabolicprocess","acylglycerol catabolic process","BP","GO:0046464","GO_ACYLGLYCEROL_CATABOLIC_PROCESS"
"acylglycerolhomeostasis","acylglycerol homeostasis","BP","GO:0055090","GO_ACYLGLYCEROL_HOMEOSTASIS"
"acylglyceroloacyltransferaseactivity","acylglycerol O-acyltransferase activity","MF","GO:0016411","GO_ACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY"
"ada2gcn5ada3transcriptionactivatorcomplex","Ada2/Gcn5/Ada3 transcription activator complex","CC","GO:0005671","GO_ADA2_GCN5_ADA3_TRANSCRIPTION_ACTIVATOR_COMPLEX"
"adaptationofsignalingpathway","adaptation of signaling pathway","BP","GO:0023058","GO_ADAPTATION_OF_SIGNALING_PATHWAY"
"adaptiveimmuneresponse","adaptive immune response","BP","GO:0002250","GO_ADAPTIVE_IMMUNE_RESPONSE"
"adaptiveimmuneresponsebasedonsomaticrecombinationofimmunereceptorsbuiltfromimmunoglobulinsuperfamilydomains","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP","GO:0002460","GO_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS"
"adenohypophysisdevelopment","adenohypophysis development","BP","GO:0021984","GO_ADENOHYPOPHYSIS_DEVELOPMENT"
"adenosinedeaminaseactivity","adenosine deaminase activity","MF","GO:0004000","GO_ADENOSINE_DEAMINASE_ACTIVITY"
"adenylatecyclaseactivatingdopaminereceptorsignalingpathway","adenylate cyclase-activating dopamine receptor signaling pathway","BP","GO:0007191","GO_ADENYLATE_CYCLASE_ACTIVATING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY"
"adenylatecyclaseactivatinggproteincoupledreceptorsignalingpathway","adenylate cyclase-activating G-protein coupled receptor signaling pathway","BP","GO:0007189","GO_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY"
"adenylatecyclaseinhibitinggproteincoupledreceptorsignalingpathway","adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway","BP","GO:0007193","GO_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY"
"adenylatecyclasemodulatinggproteincoupledreceptorsignalingpathway","adenylate cyclase-modulating G-protein coupled receptor signaling pathway","BP","GO:0007188","GO_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY"
"adenylnucleotidebinding","adenyl nucleotide binding","MF","GO:0030554","GO_ADENYL_NUCLEOTIDE_BINDING"
"adenylyltransferaseactivity","adenylyltransferase activity","MF","GO:0070566","GO_ADENYLYLTRANSFERASE_ACTIVITY"
"adherensjunctionassembly","adherens junction assembly","BP","GO:0034333","GO_ADHERENS_JUNCTION_ASSEMBLY"
"adherensjunctionorganization","adherens junction organization","BP","GO:0034332","GO_ADHERENS_JUNCTION_ORGANIZATION"
"adiposetissuedevelopment","adipose tissue development","BP","GO:0060612","GO_ADIPOSE_TISSUE_DEVELOPMENT"
"adpbinding","ADP binding","MF","GO:0043531","GO_ADP_BINDING"
"adpmetabolicprocess","ADP metabolic process","BP","GO:0046031","GO_ADP_METABOLIC_PROCESS"
"adrenalglanddevelopment","adrenal gland development","BP","GO:0030325","GO_ADRENAL_GLAND_DEVELOPMENT"
"adrenergicreceptoractivity","adrenergic receptor activity","MF","GO:0004935","GO_ADRENERGIC_RECEPTOR_ACTIVITY"
"adrenergicreceptorbinding","adrenergic receptor binding","MF","GO:0031690","GO_ADRENERGIC_RECEPTOR_BINDING"
"adrenergicreceptorsignalingpathway","adrenergic receptor signaling pathway","BP","GO:0071875","GO_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY"
"adultbehavior","adult behavior","BP","GO:0030534","GO_ADULT_BEHAVIOR"
"adultheartdevelopment","adult heart development","BP","GO:0007512","GO_ADULT_HEART_DEVELOPMENT"
"adultlocomotorybehavior","adult locomotory behavior","BP","GO:0008344","GO_ADULT_LOCOMOTORY_BEHAVIOR"
"adultwalkingbehavior","adult walking behavior","BP","GO:0007628","GO_ADULT_WALKING_BEHAVIOR"
"aerobicrespiration","aerobic respiration","BP","GO:0009060","GO_AEROBIC_RESPIRATION"
"aggresome","aggresome","CC","GO:0016235","GO_AGGRESOME"
"aging","aging","BP","GO:0007568","GO_AGING"
"alcoholbinding","alcohol binding","MF","GO:0043178","GO_ALCOHOL_BINDING"
"alcoholbiosyntheticprocess","alcohol biosynthetic process","BP","GO:0046165","GO_ALCOHOL_BIOSYNTHETIC_PROCESS"
"alcoholcatabolicprocess","alcohol catabolic process","BP","GO:0046164","GO_ALCOHOL_CATABOLIC_PROCESS"
"alcoholdehydrogenasenadpactivity","alcohol dehydrogenase (NADP+) activity","MF","GO:0008106","GO_ALCOHOL_DEHYDROGENASE_NADP_ACTIVITY"
"alcoholmetabolicprocess","alcohol metabolic process","BP","GO:0006066","GO_ALCOHOL_METABOLIC_PROCESS"
"alcoholtransmembranetransporteractivity","alcohol transmembrane transporter activity","MF","GO:0015665","GO_ALCOHOL_TRANSMEMBRANE_TRANSPORTER_ACTIVITY"
"aldehydecatabolicprocess","aldehyde catabolic process","BP","GO:0046185","GO_ALDEHYDE_CATABOLIC_PROCESS"
"aldehydedehydrogenasenadactivity","aldehyde dehydrogenase (NAD) activity","MF","GO:0004029","GO_ALDEHYDE_DEHYDROGENASE_NAD_ACTIVITY"
"alditolmetabolicprocess","alditol metabolic process","BP","GO:0019400","GO_ALDITOL_METABOLIC_PROCESS"
"alditolphosphatemetabolicprocess","alditol phosphate metabolic process","BP","GO:0052646","GO_ALDITOL_PHOSPHATE_METABOLIC_PROCESS"
"aldoketoreductasenadpactivity","aldo-keto reductase (NADP) activity","MF","GO:0004033","GO_ALDO_KETO_REDUCTASE_NADP_ACTIVITY"
"alkalimetalionbinding","alkali metal ion binding","MF","GO:0031420","GO_ALKALI_METAL_ION_BINDING"
"alkaloidmetabolicprocess","alkaloid metabolic process","BP","GO:0009820","GO_ALKALOID_METABOLIC_PROCESS"
"alphaactininbinding","alpha-actinin binding","MF","GO:0051393","GO_ALPHA_ACTININ_BINDING"
"alphaaminoacidbiosyntheticprocess","alpha-amino acid biosynthetic process","BP","GO:1901607","GO_ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS"
"alphaaminoacidcatabolicprocess","alpha-amino acid catabolic process","BP","GO:1901606","GO_ALPHA_AMINO_ACID_CATABOLIC_PROCESS"
"alphaaminoacidmetabolicprocess","alpha-amino acid metabolic process","BP","GO:1901605","GO_ALPHA_AMINO_ACID_METABOLIC_PROCESS"
"alphabetatcellactivation","alpha-beta T cell activation","BP","GO:0046631","GO_ALPHA_BETA_T_CELL_ACTIVATION"
"alphabetatcelldifferentiation","alpha-beta T cell differentiation","BP","GO:0046632","GO_ALPHA_BETA_T_CELL_DIFFERENTIATION"
"alphalinolenicacidmetabolicprocess","alpha-linolenic acid metabolic process","BP","GO:0036109","GO_ALPHA_LINOLENIC_ACID_METABOLIC_PROCESS"
"alphatubulinbinding","alpha-tubulin binding","MF","GO:0043014","GO_ALPHA_TUBULIN_BINDING"
"alternativemrnasplicingviaspliceosome","alternative mRNA splicing, via spliceosome","BP","GO:0000380","GO_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME"
"ameboidaltypecellmigration","ameboidal-type cell migration","BP","GO:0001667","GO_AMEBOIDAL_TYPE_CELL_MIGRATION"
"amelogenesis","amelogenesis","BP","GO:0097186","GO_AMELOGENESIS"
"amidebinding","amide binding","MF","GO:0033218","GO_AMIDE_BINDING"
"amidebiosyntheticprocess","amide biosynthetic process","BP","GO:0043604","GO_AMIDE_BIOSYNTHETIC_PROCESS"
"amidetransmembranetransporteractivity","amide transmembrane transporter activity","MF","GO:0042887","GO_AMIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY"
"amidetransport","amide transport","BP","GO:0042886","GO_AMIDE_TRANSPORT"
"aminebinding","amine binding","MF","GO:0043176","GO_AMINE_BINDING"
"aminebiosyntheticprocess","amine biosynthetic process","BP","GO:0009309","GO_AMINE_BIOSYNTHETIC_PROCESS"
"aminecatabolicprocess","amine catabolic process","BP","GO:0009310","GO_AMINE_CATABOLIC_PROCESS"
"aminemetabolicprocess","amine metabolic process","BP","GO:0009308","GO_AMINE_METABOLIC_PROCESS"
"aminoacidactivation","amino acid activation","BP","GO:0043038","GO_AMINO_ACID_ACTIVATION"
"aminoacidbetainemetabolicprocess","amino-acid betaine metabolic process","BP","GO:0006577","GO_AMINO_ACID_BETAINE_METABOLIC_PROCESS"
"aminoacidbetainetransport","amino-acid betaine transport","BP","GO:0015838","GO_AMINO_ACID_BETAINE_TRANSPORT"
"aminoacidbinding","amino acid binding","MF","GO:0016597","GO_AMINO_ACID_BINDING"
"aminoacidimport","amino acid import","BP","GO:0043090","GO_AMINO_ACID_IMPORT"
"aminoacidtransmembranetransport","amino acid transmembrane transport","BP","GO:0003333","GO_AMINO_ACID_TRANSMEMBRANE_TRANSPORT"
"aminoacidtransmembranetransporteractivity","amino acid transmembrane transporter activity","MF","GO:0015171","GO_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY"
"aminoacidtransport","amino acid transport","BP","GO:0006865","GO_AMINO_ACID_TRANSPORT"
"aminoacyltrnaeditingactivity","aminoacyl-tRNA editing activity","MF","GO:0002161","GO_AMINOACYL_TRNA_EDITING_ACTIVITY"
"aminoglycanbiosyntheticprocess","aminoglycan biosynthetic process","BP","GO:0006023","GO_AMINOGLYCAN_BIOSYNTHETIC_PROCESS"
"aminoglycancatabolicprocess","aminoglycan catabolic process","BP","GO:0006026","GO_AMINOGLYCAN_CATABOLIC_PROCESS"
"aminoglycanmetabolicprocess","aminoglycan metabolic process","BP","GO:0006022","GO_AMINOGLYCAN_METABOLIC_PROCESS"
"aminopeptidaseactivity","aminopeptidase activity","MF","GO:0004177","GO_AMINOPEPTIDASE_ACTIVITY"
"aminosugarbiosyntheticprocess","amino sugar biosynthetic process","BP","GO:0046349","GO_AMINO_SUGAR_BIOSYNTHETIC_PROCESS"
"aminosugarcatabolicprocess","amino sugar catabolic process","BP","GO:0046348","GO_AMINO_SUGAR_CATABOLIC_PROCESS"
"aminosugarmetabolicprocess","amino sugar metabolic process","BP","GO:0006040","GO_AMINO_SUGAR_METABOLIC_PROCESS"
"ammoniumionbinding","ammonium ion binding","MF","GO:0070405","GO_AMMONIUM_ION_BINDING"
"ammoniumionmetabolicprocess","ammonium ion metabolic process","BP","GO:0097164","GO_AMMONIUM_ION_METABOLIC_PROCESS"
"ammoniumtransmembranetransport","ammonium transmembrane transport","BP","GO:0072488","GO_AMMONIUM_TRANSMEMBRANE_TRANSPORT"
"ammoniumtransmembranetransporteractivity","ammonium transmembrane transporter activity","MF","GO:0008519","GO_AMMONIUM_TRANSMEMBRANE_TRANSPORTER_ACTIVITY"
"ammoniumtransport","ammonium transport","BP","GO:0015696","GO_AMMONIUM_TRANSPORT"
"ampaglutamatereceptorcomplex","AMPA glutamate receptor complex","CC","GO:0032281","GO_AMPA_GLUTAMATE_RECEPTOR_COMPLEX"
"ampmetabolicprocess","AMP metabolic process","BP","GO:0046033","GO_AMP_METABOLIC_PROCESS"
"amyloidprecursorproteinmetabolicprocess","amyloid precursor protein metabolic process","BP","GO:0042982","GO_AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS"
"anaphasepromotingcomplex","anaphase-promoting complex","CC","GO:0005680","GO_ANAPHASE_PROMOTING_COMPLEX"
"anaphasepromotingcomplexdependentcatabolicprocess","anaphase-promoting complex-dependent catabolic process","BP","GO:0031145","GO_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS"
"anatomicalstructurearrangement","anatomical structure arrangement","BP","GO:0048532","GO_ANATOMICAL_STRUCTURE_ARRANGEMENT"
"anatomicalstructureformationinvolvedinmorphogenesis","anatomical structure formation involved in morphogenesis","BP","GO:0048646","GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS"
"anatomicalstructurehomeostasis","anatomical structure homeostasis","BP","GO:0060249","GO_ANATOMICAL_STRUCTURE_HOMEOSTASIS"
"anatomicalstructurematuration","anatomical structure maturation","BP","GO:0071695","GO_ANATOMICAL_STRUCTURE_MATURATION"
"anatomicalstructureregression","anatomical structure regression","BP","GO:0060033","GO_ANATOMICAL_STRUCTURE_REGRESSION"
"anchoredcomponentofexternalsideofplasmamembrane","anchored component of external side of plasma membrane","CC","GO:0031362","GO_ANCHORED_COMPONENT_OF_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE"
"anchoredcomponentofmembrane","anchored component of membrane","CC","GO:0031225","GO_ANCHORED_COMPONENT_OF_MEMBRANE"
"anchoredcomponentofplasmamembrane","anchored component of plasma membrane","CC","GO:0046658","GO_ANCHORED_COMPONENT_OF_PLASMA_MEMBRANE"
"anchoringjunction","anchoring junction","CC","GO:0070161","GO_ANCHORING_JUNCTION"
"androgenbiosyntheticprocess","androgen biosynthetic process","BP","GO:0006702","GO_ANDROGEN_BIOSYNTHETIC_PROCESS"
"androgenmetabolicprocess","androgen metabolic process","BP","GO:0008209","GO_ANDROGEN_METABOLIC_PROCESS"
"androgenreceptorbinding","androgen receptor binding","MF","GO:0050681","GO_ANDROGEN_RECEPTOR_BINDING"
"androgenreceptorsignalingpathway","androgen receptor signaling pathway","BP","GO:0030521","GO_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY"
"angiogenesis","angiogenesis","BP","GO:0001525","GO_ANGIOGENESIS"
"angiogenesisinvolvedinwoundhealing","angiogenesis involved in wound healing","BP","GO:0060055","GO_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING"
"angiotensinreceptorbinding","angiotensin receptor binding","MF","GO:0031701","GO_ANGIOTENSIN_RECEPTOR_BINDING"
"anionanionantiporteractivity","anion:anion antiporter activity","MF","GO:0015301","GO_ANION_ANION_ANTIPORTER_ACTIVITY"
"anioncationsymporteractivity","anion:cation symporter activity","MF","GO:0015296","GO_ANION_CATION_SYMPORTER_ACTIVITY"
"anionchannelactivity","anion channel activity","MF","GO:0005253","GO_ANION_CHANNEL_ACTIVITY"
"anionhomeostasis","anion homeostasis","BP","GO:0055081","GO_ANION_HOMEOSTASIS"
"aniontransmembranetransport","anion transmembrane transport","BP","GO:0098656","GO_ANION_TRANSMEMBRANE_TRANSPORT"
"aniontransmembranetransporteractivity","anion transmembrane transporter activity","MF","GO:0008509","GO_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY"
"aniontransmembranetransportingatpaseactivity","GO_ANION_TRANSMEMBRANE_TRANSPORTING_ATPASE_ACTIVITY",NA,NA,"GO_ANION_TRANSMEMBRANE_TRANSPORTING_ATPASE_ACTIVITY"
"aniontransport","anion transport","BP","GO:0006820","GO_ANION_TRANSPORT"
"ankyrinbinding","ankyrin binding","MF","GO:0030506","GO_ANKYRIN_BINDING"
"annealingactivity","annealing activity","MF","GO:0097617","GO_ANNEALING_ACTIVITY"
"anteriorposterioraxisspecification","anterior/posterior axis specification","BP","GO:0009948","GO_ANTERIOR_POSTERIOR_AXIS_SPECIFICATION"
"anteriorposterioraxisspecificationembryo","anterior/posterior axis specification, embryo","BP","GO:0008595","GO_ANTERIOR_POSTERIOR_AXIS_SPECIFICATION_EMBRYO"
"anteriorposteriorpatternspecification","anterior/posterior pattern specification","BP","GO:0009952","GO_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION"
"anterogradeaxonaltransport","anterograde axonal transport","BP","GO:0008089","GO_ANTEROGRADE_AXONAL_TRANSPORT"
"anterogradesynapticvesicletransport","anterograde synaptic vesicle transport","BP","GO:0048490","GO_ANTEROGRADE_SYNAPTIC_VESICLE_TRANSPORT"
"antigenbinding","antigen binding","MF","GO:0003823","GO_ANTIGEN_BINDING"
"antigenprocessingandpresentation","antigen processing and presentation","BP","GO:0019882","GO_ANTIGEN_PROCESSING_AND_PRESENTATION"
